,Autocorrelation
1076,0.4765701444935081
1077,0.4848552468133157
1078,0.4950111458242029
1079,0.48828962956871624
1080,0.4890021926539518
1081,0.49799233519064423
1082,0.500220279482864
1083,0.49636245204114776
1084,0.5057700968705209
1085,0.5198662013181754
1086,0.5163813589556441
1087,0.5143987211698656
1088,0.5230142125989715
1089,0.5243140448444616
1090,0.520111198452857
1091,0.524050882287131
1092,0.532058643332989
1093,0.5272416069630771
1094,0.5214831878593863
1095,0.5273113938151878
1096,0.5223187252865242
1097,0.5101809150922157
1098,0.5102262687680339
1099,0.5188868907808455
1100,0.5167788034905867
1101,0.5139762551003242
1102,0.5180584494874763
1103,0.5154122114787592
1104,0.5057447127482542
1105,0.5100349884533781
1106,0.5177977961243191
1107,0.5132480633251382
1108,0.5121592274954607
1109,0.5189676223462605
1110,0.5137167100169288
1111,0.49807928782059613
1112,0.49273472519639516
1113,0.4972626826827897
1114,0.4929457862148133
1115,0.48778206400784013
1116,0.4901212024508057
1117,0.48509913659116766
1118,0.47790315054163024
1119,0.47720453214221986
1120,0.4811173975552838
1121,0.4743980450635845
1122,0.46894644037352307
1123,0.46687793673246714
1124,0.46406035497943926
1125,0.46116495433376364
1126,0.4611090405383322
1127,0.4637137020411118
1128,0.45048129729639697
1129,0.4373310034167285
1130,0.43237871418002716
1131,0.42372699242073036
1132,0.4134547817050267
1133,0.4063947148006627
1134,0.39881138672938726
1135,0.3818845916664713
1136,0.3671932848870605
1137,0.360137399170328
1138,0.3509880113503632
1139,0.3385060962312341
1140,0.3283135193444619
1141,0.3263114583929794
1142,0.3113608591160014
1143,0.293934158517125
1144,0.281639110702881
1145,0.26851984216594615
1146,0.2524897249435959
1147,0.2460216609327505
1148,0.24667548485564286
1149,0.22956443623517564
1150,0.2165369265329594
1151,0.2101843867012689
1152,0.1970113062585633
1153,0.18721589957253965
1154,0.19135833783542586
1155,0.1928551935705402
1156,0.17788801444290547
1157,0.16603004555612183
1158,0.16207342694283186
1159,0.14580024632347927
1160,0.13369497321526969
1161,0.13058434578091052
1162,0.12782001546357669
1163,0.10915744208267787
1164,0.09579568056833988
1165,0.08940723005587564
